"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29189","county","St. Louis","clinton","clinton","democrat","democrat","votes",286704
201611,"general","pr","29510","county","St. Louis City","clinton","clinton","democrat","democrat","votes",104235
201611,"general","pr","29186","county","Ste. Genevieve","clinton","clinton","democrat","democrat","votes",2542
201611,"general","pr","29207","county","Stoddard","clinton","clinton","democrat","democrat","votes",1876
201611,"general","pr","29209","county","Stone","clinton","clinton","democrat","democrat","votes",2887
201611,"general","pr","29211","county","Sullivan","clinton","clinton","democrat","democrat","votes",526
201611,"general","pr","29213","county","Taney","clinton","clinton","democrat","democrat","votes",4373
201611,"general","pr","29215","county","Texas","clinton","clinton","democrat","democrat","votes",1728
201611,"general","pr","29217","county","Vernon","clinton","clinton","democrat","democrat","votes",1707
201611,"general","pr","29219","county","Warren","clinton","clinton","democrat","democrat","votes",3915
201611,"general","pr","29221","county","Washington","clinton","clinton","democrat","democrat","votes",1926
201611,"general","pr","29223","county","Wayne","clinton","clinton","democrat","democrat","votes",948
201611,"general","pr","29225","county","Webster","clinton","clinton","democrat","democrat","votes",3177
201611,"general","pr","29227","county","Worth","clinton","clinton","democrat","democrat","votes",195
201611,"general","pr","29229","county","Wright","clinton","clinton","democrat","democrat","votes",1170
201611,"general","pr","29001","county","Adair","trump","trump","republican","republican","votes",6030
201611,"general","pr","29003","county","Andrew","trump","trump","republican","republican","votes",6665
201611,"general","pr","29005","county","Atchison","trump","trump","republican","republican","votes",2060
201611,"general","pr","29007","county","Audrain","trump","trump","republican","republican","votes",6981
201611,"general","pr","29009","county","Barry","trump","trump","republican","republican","votes",11428
201611,"general","pr","29011","county","Barton","trump","trump","republican","republican","votes",4959
201611,"general","pr","29013","county","Bates","trump","trump","republican","republican","votes",6001
201611,"general","pr","29015","county","Benton","trump","trump","republican","republican","votes",7213
201611,"general","pr","29017","county","Bollinger","trump","trump","republican","republican","votes",4827
201611,"general","pr","29019","county","Boone","trump","trump","republican","republican","votes",36200
201611,"general","pr","29021","county","Buchanan","trump","trump","republican","republican","votes",21320
201611,"general","pr","29023","county","Butler","trump","trump","republican","republican","votes",13650
201611,"general","pr","29025","county","Caldwell","trump","trump","republican","republican","votes",3232
201611,"general","pr","29027","county","Callaway","trump","trump","republican","republican","votes",13057
201611,"general","pr","29029","county","Camden","trump","trump","republican","republican","votes",16944
201611,"general","pr","29031","county","Cape Girardeau","trump","trump","republican","republican","votes",27017
201611,"general","pr","29033","county","Carroll","trump","trump","republican","republican","votes",3480
201611,"general","pr","29035","county","Carter","trump","trump","republican","republican","votes",2324
201611,"general","pr","29037","county","Cass","trump","trump","republican","republican","votes",33098
201611,"general","pr","29039","county","Cedar","trump","trump","republican","republican","votes",5021
201611,"general","pr","29041","county","Chariton","trump","trump","republican","republican","votes",2950
201611,"general","pr","29043","county","Christian","trump","trump","republican","republican","votes",30946
